搜尋關鍵字,年份,歌手,歌名,專輯,發行日期,類型,官方連結,試聽連結
閩南語,2024,ShiGGa Shay & 瘦子E.SO,BO BEH ZAO 沒馬跑,BO BEH ZAO 沒馬跑 - Single,2024-05-08,饒舌,https://music.apple.com/tw/album/bo-beh-zao-%E6%B2%92%E9%A6%AC%E8%B7%91/1742011051?i=1742011218&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/a7/67/9e/a7679ec5-7998-acea-3d06-8d0d9008d65a/mzaf_2310004380854826794.plus.aac.p.m4a
閩南語流行,2024,FunkyMo,修理車,"物件,所在",2024-09-03,R&B/靈魂樂,https://music.apple.com/tw/album/%E4%BF%AE%E7%90%86%E8%BB%8A/1764901219?i=1764901241&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/63/de/98/63de9888-9fee-9c32-2854-77bcb7964133/mzaf_573555307728461680.plus.aac.p.m4a
臺語,2023,青虫 aoi,落雨天 (feat. 阿跨面),海海人生,2023-10-06,華語流行樂,https://music.apple.com/tw/album/%E8%90%BD%E9%9B%A8%E5%A4%A9-feat-%E9%98%BF%E8%B7%A8%E9%9D%A2/1708515718?i=1708515726&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/90/a7/b0/90a7b0b8-4739-8f40-28c9-d23f43e60700/mzaf_17004839326824498041.plus.aac.p.m4a
台語,2023,許富凱,伊的身邊已經有別人2023 (feat. 血肉果汁機),伊的身邊已經有別人2023 (feat. 血肉果汁機) - Single,2023-06-17,台灣流行樂,https://music.apple.com/tw/album/%E4%BC%8A%E7%9A%84%E8%BA%AB%E9%82%8A%E5%B7%B2%E7%B6%93%E6%9C%89%E5%88%A5%E4%BA%BA2023-feat-%E8%A1%80%E8%82%89%E6%9E%9C%E6%B1%81%E6%A9%9F/1691657365?i=1691657373&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/4e/82/45/4e8245bb-1c81-873a-ebff-fc115e495690/mzaf_3034403913211766827.plus.aac.p.m4a
臺語,2023,羅時豐,快樂的出帆,羅時豐21世紀臺語經典實錄 Vol.2,2023-07-14,華語流行樂,https://music.apple.com/tw/album/%E5%BF%AB%E6%A8%82%E7%9A%84%E5%87%BA%E5%B8%86/1697942392?i=1697942665&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/d0/c5/50/d0c5508a-7662-4a6c-1eaa-235a2cad7bab/mzaf_11140258873507154936.plus.aac.p.m4a
臺語,2023,滅火器,給女兒,家和萬事興,2023-06-09,龐克,https://music.apple.com/tw/album/%E7%B5%A6%E5%A5%B3%E5%85%92/1689536430?i=1689536714&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/04/ba/e6/04bae69b-dc58-3baa-0571-587f380a8e7a/mzaf_2624189798099850062.plus.aac.p.m4a
臺語,2023,滅火器,新歌六號,家和萬事興,2023-05-05,龐克,https://music.apple.com/tw/album/%E6%96%B0%E6%AD%8C%E5%85%AD%E8%99%9F/1689536430?i=1689536434&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/70/20/4b/70204bbe-e03d-6c4c-c971-6eb18604e24b/mzaf_2582566082573381907.plus.aac.p.m4a
臺語,2023,滅火器,新世界的光 (feat. DJ Mykal a.k.a. 林哲儀),家和萬事興,2023-06-09,龐克,https://music.apple.com/tw/album/%E6%96%B0%E4%B8%96%E7%95%8C%E7%9A%84%E5%85%89-feat-dj-mykal-a-k-a-%E6%9E%97%E5%93%B2%E5%84%80/1689536430?i=1689536686&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/f6/8f/b8/f68fb83b-6d60-6a77-7fcc-58460180e79b/mzaf_504757722917849521.plus.aac.p.m4a
臺語,2023,滅火器,家和萬事興,家和萬事興,2023-06-09,龐克,https://music.apple.com/tw/album/%E5%AE%B6%E5%92%8C%E8%90%AC%E4%BA%8B%E8%88%88/1689536430?i=1689536843&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/6b/25/6e/6b256ea4-3354-0b70-2571-e2caab88f154/mzaf_10827001532917288746.plus.aac.p.m4a
臺語,2023,滅火器,人生尾路,家和萬事興,2023-06-09,龐克,https://music.apple.com/tw/album/%E4%BA%BA%E7%94%9F%E5%B0%BE%E8%B7%AF/1689536430?i=1689536844&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/37/fd/e1/37fde14a-c27f-7340-904f-d2a5f202d8b2/mzaf_6666174443235640185.plus.aac.p.m4a
台語流行,2023,洪佩瑜,同款 (電影《本日公休》主題曲),同款 (電影《本日公休》主題曲) - Single,2023-02-14,華語流行樂,https://music.apple.com/tw/album/%E5%90%8C%E6%AC%BE-%E9%9B%BB%E5%BD%B1-%E6%9C%AC%E6%97%A5%E5%85%AC%E4%BC%91-%E4%B8%BB%E9%A1%8C%E6%9B%B2/1670262229?i=1670262231&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/33/3f/38/333f38a8-e5b4-76d8-df42-edcb0da1ed1f/mzaf_10902066975493269311.plus.aac.p.m4a
閩南語,2023,"桃子A1J, 王水源 & 水蜜桃偵探社",尋人,尋人,2023-09-26,華語流行樂,https://music.apple.com/tw/album/%E5%B0%8B%E4%BA%BA/1707256617?i=1707256934&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/6c/8b/b7/6c8bb7b8-24e5-4756-381f-0ecf30963aab/mzaf_12008890420879714372.plus.aac.p.m4a
臺語,2022,邰智源 & 盧廣仲,相忘,木曜跨界演唱會-Awakening - EP,2022-04-01,華語流行樂,https://music.apple.com/tw/album/%E7%9B%B8%E5%BF%98/1615566053?i=1615566057&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/fe/0f/89/fe0f8946-81e9-ce07-a164-f771550747cc/mzaf_6344267256733956075.plus.aac.p.m4a
臺語,2022,潤少,潤少專屬,潤少專屬 - Single,2022-08-24,嘻哈/饒舌,https://music.apple.com/tw/album/%E6%BD%A4%E5%B0%91%E5%B0%88%E5%B1%AC/1638724048?i=1638724049&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/a3/0c/9b/a30c9b8e-0133-0d49-cb57-2911cfda6c8a/mzaf_8172902685965070866.plus.aac.p.m4a
台語,2022,曾瑋中,必巡 (三立戲劇《含笑食堂》片尾曲/《嘉慶君遊臺灣》片頭曲),總會有一工,2022-07-07,台灣流行樂,https://music.apple.com/tw/album/%E5%BF%85%E5%B7%A1-%E4%B8%89%E7%AB%8B%E6%88%B2%E5%8A%87-%E5%90%AB%E7%AC%91%E9%A3%9F%E5%A0%82-%E7%89%87%E5%B0%BE%E6%9B%B2-%E5%98%89%E6%85%B6%E5%90%9B%E9%81%8A%E8%87%BA%E7%81%A3-%E7%89%87%E9%A0%AD%E6%9B%B2/1632587451?i=1632587457&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview122/v4/30/16/06/301606ff-178a-ae02-42a2-e6545ea42300/mzaf_13191746860429283606.plus.aac.p.m4a
臺語,2022,宇宙人,好野,理想狀態,2022-03-17,台灣流行樂,https://music.apple.com/tw/album/%E5%A5%BD%E9%87%8E/1613887529?i=1613887898&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/ff/d1/a4/ffd1a489-3aed-8f70-f21f-17fc20994381/mzaf_558628878644591689.plus.aac.p.m4a
臺語,2021,血肉果汁機,虎爺,GOLDEN 太子 BRO,2021-01-01,金屬樂,https://music.apple.com/tw/album/%E8%99%8E%E7%88%BA/1545337666?i=1545337680&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/29/f2/1a/29f21a8e-f198-b9fb-20bb-84adf2000685/mzaf_12871171005013811286.plus.aac.p.m4a
閩南語,2021,草屯囝仔,愈愛愈殘忍,愈愛愈殘忍 - Single,2021-10-25,台灣流行樂,https://music.apple.com/tw/album/%E6%84%88%E6%84%9B%E6%84%88%E6%AE%98%E5%BF%8D/1590830127?i=1590830128&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/e4/5c/db/e45cdbb1-03f7-0cdf-28e2-3f05ff6ba3c4/mzaf_18445151278624678372.plus.aac.p.m4a
臺語流行,2021,茄子蛋,閣愛妳一擺,閣愛妳一擺 - Single,2021-12-10,台灣流行樂,https://music.apple.com/tw/album/%E9%96%A3%E6%84%9B%E5%A6%B3%E4%B8%80%E6%93%BA/1726970400?i=1726970401&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/99/e4/1b/99e41ba6-8be6-f0a6-b25a-8c914df0bcee/mzaf_18261394331611467862.plus.aac.p.m4a
Taiwanese Hokkien,2021,百合花,拜六,不是路,2021-12-24,搖滾,https://music.apple.com/tw/album/%E6%8B%9C%E5%85%AD/1719745856?i=1719745875&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/c0/f6/f7/c0f6f7da-176b-4b41-a3f5-0128dc5b7dfe/mzaf_10140223050722377416.plus.aac.p.m4a
