搜尋關鍵字,年份,歌手,歌名,專輯,發行日期,類型,YouTube搜尋網址
Taiwanese Hokkien,2025,Eric Sung,落雨的公路 Rainy Highway (台語 Taiwanese Hokkien R&B),落雨的公路 Rainy Highway (台語 Taiwanese Hokkien R&B) - Single,2025-12-30,R&B/靈魂樂,https://www.youtube.com/results?search_query=Eric+Sung+%E8%90%BD%E9%9B%A8%E7%9A%84%E5%85%AC%E8%B7%AF+Rainy+Highway+%28%E5%8F%B0%E8%AA%9E+Taiwanese+Hokkien+R%26B%29+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
閩南語,2025,9m88,大濛的暗眠,《大濛》電影原聲帶,2025-11-27,原聲帶,https://www.youtube.com/results?search_query=9m88+%E5%A4%A7%E6%BF%9B%E7%9A%84%E6%9A%97%E7%9C%A0+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
閩南語,2024,馬克SAVAGE.M,海岸,海岸 - Single,2024-03-29,雷鬼,https://www.youtube.com/results?search_query=%E9%A6%AC%E5%85%8BSAVAGE.M+%E6%B5%B7%E5%B2%B8+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
台語歌,2024,陳昭宇 & 張恆銘,做田人 (feat. Suma),2023-2024南面而歌 新世代台語歌創作專輯,2024-04-12,華語流行樂,https://www.youtube.com/results?search_query=%E9%99%B3%E6%98%AD%E5%AE%87+%26+%E5%BC%B5%E6%81%86%E9%8A%98+%E5%81%9A%E7%94%B0%E4%BA%BA+%28feat.+Suma%29+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
臺語,2024,阿跨面,陷眠,心,2024-02-22,華語流行樂,https://www.youtube.com/results?search_query=%E9%98%BF%E8%B7%A8%E9%9D%A2+%E9%99%B7%E7%9C%A0+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
閩南語,2024,阿跨面,男子漢一匹,心,2024-02-22,華語流行樂,https://www.youtube.com/results?search_query=%E9%98%BF%E8%B7%A8%E9%9D%A2+%E7%94%B7%E5%AD%90%E6%BC%A2%E4%B8%80%E5%8C%B9+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
臺語,2024,阿跨面,愛了傷過份,心,2024-02-22,華語流行樂,https://www.youtube.com/results?search_query=%E9%98%BF%E8%B7%A8%E9%9D%A2+%E6%84%9B%E4%BA%86%E5%82%B7%E9%81%8E%E4%BB%BD+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
閩南語,2024,阿跨面,心竭 (feat. 阿德 & 阿任),心,2024-02-22,台灣流行樂,https://www.youtube.com/results?search_query=%E9%98%BF%E8%B7%A8%E9%9D%A2+%E5%BF%83%E7%AB%AD+%28feat.+%E9%98%BF%E5%BE%B7+%26+%E9%98%BF%E4%BB%BB%29+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
閩南語,2024,阿跨面,心,心,2024-02-22,華語流行樂,https://www.youtube.com/results?search_query=%E9%98%BF%E8%B7%A8%E9%9D%A2+%E5%BF%83+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
閩南語,2024,阿跨面,九五家滿 (feat. 寶寶熊),心,2024-02-22,華語流行樂,https://www.youtube.com/results?search_query=%E9%98%BF%E8%B7%A8%E9%9D%A2+%E4%B9%9D%E4%BA%94%E5%AE%B6%E6%BB%BF+%28feat.+%E5%AF%B6%E5%AF%B6%E7%86%8A%29+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
台語流行,2024,邱軍,運轉人生 (影集《華麗計程車行》插曲),情歌手,2024-02-23,華語流行樂,https://www.youtube.com/results?search_query=%E9%82%B1%E8%BB%8D+%E9%81%8B%E8%BD%89%E4%BA%BA%E7%94%9F+%28%E5%BD%B1%E9%9B%86%E3%80%8A%E8%8F%AF%E9%BA%97%E8%A8%88%E7%A8%8B%E8%BB%8A%E8%A1%8C%E3%80%8B%E6%8F%92%E6%9B%B2%29+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
台語歌,2024,過勞電台,安啦無代誌啦,2023-2024南面而歌 新世代台語歌創作專輯,2024-04-12,華語流行樂,https://www.youtube.com/results?search_query=%E9%81%8E%E5%8B%9E%E9%9B%BB%E5%8F%B0+%E5%AE%89%E5%95%A6%E7%84%A1%E4%BB%A3%E8%AA%8C%E5%95%A6+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
台語歌,2024,謝青燁Eric,拜五,2023-2024南面而歌 新世代台語歌創作專輯,2024-04-12,華語流行樂,https://www.youtube.com/results?search_query=%E8%AC%9D%E9%9D%92%E7%87%81Eric+%E6%8B%9C%E4%BA%94+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
台語歌,2024,蓋亞 Gaea Lee,下面一位,2023-2024南面而歌 新世代台語歌創作專輯,2024-04-12,華語流行樂,https://www.youtube.com/results?search_query=%E8%93%8B%E4%BA%9E+Gaea+Lee+%E4%B8%8B%E9%9D%A2%E4%B8%80%E4%BD%8D+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
Taiwanese Hokkien,2024,珂拉琪 Collage,Nine Sols,九日,2024-06-28,原聲帶,https://www.youtube.com/results?search_query=%E7%8F%82%E6%8B%89%E7%90%AA+Collage+Nine+Sols+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
台語歌,2024,王彙筑,輕輕仔飛,2023-2024南面而歌 新世代台語歌創作專輯,2024-04-12,華語流行樂,https://www.youtube.com/results?search_query=%E7%8E%8B%E5%BD%99%E7%AD%91+%E8%BC%95%E8%BC%95%E4%BB%94%E9%A3%9B+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
台語歌,2024,潘信維,查埔人一首歌,查埔人一首歌,2024-10-25,台灣流行樂,https://www.youtube.com/results?search_query=%E6%BD%98%E4%BF%A1%E7%B6%AD+%E6%9F%A5%E5%9F%94%E4%BA%BA%E4%B8%80%E9%A6%96%E6%AD%8C+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
台語歌,2024,楊直桂,古錐的你,2023-2024南面而歌 新世代台語歌創作專輯,2024-04-12,華語流行樂,https://www.youtube.com/results?search_query=%E6%A5%8A%E7%9B%B4%E6%A1%82+%E5%8F%A4%E9%8C%90%E7%9A%84%E4%BD%A0+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
臺語流行,2024,李竺芯,懸踏仔咬跤,Suí 水,2024-12-30,台灣流行樂,https://www.youtube.com/results?search_query=%E6%9D%8E%E7%AB%BA%E8%8A%AF+%E6%87%B8%E8%B8%8F%E4%BB%94%E5%92%AC%E8%B7%A4+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
台語歌,2024,李榮浩,另一端,另一端 - Single,2024-05-10,華語流行樂,https://www.youtube.com/results?search_query=%E6%9D%8E%E6%A6%AE%E6%B5%A9+%E5%8F%A6%E4%B8%80%E7%AB%AF+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
台語歌,2024,晚安費雪,茶,2023-2024南面而歌 新世代台語歌創作專輯,2024-04-12,華語流行樂,https://www.youtube.com/results?search_query=%E6%99%9A%E5%AE%89%E8%B2%BB%E9%9B%AA+%E8%8C%B6+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
台語歌,2024,方立維,寫予妳的批,2023-2024南面而歌 新世代台語歌創作專輯,2024-04-12,華語流行樂,https://www.youtube.com/results?search_query=%E6%96%B9%E7%AB%8B%E7%B6%AD+%E5%AF%AB%E4%BA%88%E5%A6%B3%E7%9A%84%E6%89%B9+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
台語歌,2024,攬佬SKAI ISYOURGOD,八方來財,八方來財,2024-08-20,嘻哈,https://www.youtube.com/results?search_query=%E6%94%AC%E4%BD%ACSKAI+ISYOURGOD+%E5%85%AB%E6%96%B9%E4%BE%86%E8%B2%A1+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
閩南語,2024,拍謝少年,噪音公寓,噪音公寓,2024-05-01,搖滾,https://www.youtube.com/results?search_query=%E6%8B%8D%E8%AC%9D%E5%B0%91%E5%B9%B4+%E5%99%AA%E9%9F%B3%E5%85%AC%E5%AF%93+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
臺語,2024,拍謝少年,共身軀完全放予去 (feat. 鄭宜農),噪音公寓,2024-05-24,搖滾,https://www.youtube.com/results?search_query=%E6%8B%8D%E8%AC%9D%E5%B0%91%E5%B9%B4+%E5%85%B1%E8%BA%AB%E8%BB%80%E5%AE%8C%E5%85%A8%E6%94%BE%E4%BA%88%E5%8E%BB+%28feat.+%E9%84%AD%E5%AE%9C%E8%BE%B2%29+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
台語歌,2024,夢岸 Bang Huann,孤娘,2023-2024南面而歌 新世代台語歌創作專輯,2024-04-12,華語流行樂,https://www.youtube.com/results?search_query=%E5%A4%A2%E5%B2%B8+Bang+Huann+%E5%AD%A4%E5%A8%98+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
台語歌,2024,元冠,毋敢唱情歌ê⼈,2023-2024南面而歌 新世代台語歌創作專輯,2024-04-12,華語流行樂,https://www.youtube.com/results?search_query=%E5%85%83%E5%86%A0+%E6%AF%8B%E6%95%A2%E5%94%B1%E6%83%85%E6%AD%8C%C3%AA%E2%BC%88+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
閩南語,2024,ShiGGa Shay & 瘦子E.SO,BO BEH ZAO 沒馬跑,BO BEH ZAO 沒馬跑 - Single,2024-05-08,饒舌,https://www.youtube.com/results?search_query=ShiGGa+Shay+%26+%E7%98%A6%E5%AD%90E.SO+BO+BEH+ZAO+%E6%B2%92%E9%A6%AC%E8%B7%91+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
台語歌,2024,Kalabebe,想你的時,2023-2024南面而歌 新世代台語歌創作專輯,2024-04-12,華語流行樂,https://www.youtube.com/results?search_query=Kalabebe+%E6%83%B3%E4%BD%A0%E7%9A%84%E6%99%82+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
台語歌,2024,Gentlewomen 仕女聲,從今以後,2023-2024南面而歌 新世代台語歌創作專輯,2024-04-12,華語流行樂,https://www.youtube.com/results?search_query=Gentlewomen+%E4%BB%95%E5%A5%B3%E8%81%B2+%E5%BE%9E%E4%BB%8A%E4%BB%A5%E5%BE%8C+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
閩南語,2024,FunkyMo,修理車,"物件,所在",2024-09-03,R&B/靈魂樂,https://www.youtube.com/results?search_query=FunkyMo+%E4%BF%AE%E7%90%86%E8%BB%8A+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
台語歌,2023,黃西田,田庄兄哥返來啦!,鐵金剛歌唱集:十大台語歌星大會串,2023-08-01,台灣流行樂,https://www.youtube.com/results?search_query=%E9%BB%83%E8%A5%BF%E7%94%B0+%E7%94%B0%E5%BA%84%E5%85%84%E5%93%A5%E8%BF%94%E4%BE%86%E5%95%A6%21+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
臺語,2023,青虫 aoi,落雨天 (feat. 阿跨面),海海人生,2023-10-06,華語流行樂,https://www.youtube.com/results?search_query=%E9%9D%92%E8%99%AB+aoi+%E8%90%BD%E9%9B%A8%E5%A4%A9+%28feat.+%E9%98%BF%E8%B7%A8%E9%9D%A2%29+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
台語歌,2023,鄭日清,做風颱彼日,鐵金剛歌唱集:十大台語歌星大會串,2023-08-01,台灣流行樂,https://www.youtube.com/results?search_query=%E9%84%AD%E6%97%A5%E6%B8%85+%E5%81%9A%E9%A2%A8%E9%A2%B1%E5%BD%BC%E6%97%A5+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
台語,2023,許富凱,伊的身邊已經有別人2023 (feat. 血肉果汁機),伊的身邊已經有別人2023 (feat. 血肉果汁機) - Single,2023-06-17,台灣流行樂,https://www.youtube.com/results?search_query=%E8%A8%B1%E5%AF%8C%E5%87%B1+%E4%BC%8A%E7%9A%84%E8%BA%AB%E9%82%8A%E5%B7%B2%E7%B6%93%E6%9C%89%E5%88%A5%E4%BA%BA2023+%28feat.+%E8%A1%80%E8%82%89%E6%9E%9C%E6%B1%81%E6%A9%9F%29+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
台語歌,2023,董英明,悲戀的街路,鐵金剛歌唱集:十大台語歌星大會串,2023-08-01,台灣流行樂,https://www.youtube.com/results?search_query=%E8%91%A3%E8%8B%B1%E6%98%8E+%E6%82%B2%E6%88%80%E7%9A%84%E8%A1%97%E8%B7%AF+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
台語歌,2023,芒果醬,我喜歡你,心跳保衛戰,2023-12-21,另類音樂,https://www.youtube.com/results?search_query=%E8%8A%92%E6%9E%9C%E9%86%AC+%E6%88%91%E5%96%9C%E6%AD%A1%E4%BD%A0+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
臺語,2023,羅時豐,快樂的出帆,羅時豐21世紀臺語經典實錄 Vol.2,2023-07-14,華語流行樂,https://www.youtube.com/results?search_query=%E7%BE%85%E6%99%82%E8%B1%90+%E5%BF%AB%E6%A8%82%E7%9A%84%E5%87%BA%E5%B8%86+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
台語歌,2023,王秀如,心頭亂紛紛,鐵金剛歌唱集:十大台語歌星大會串,2023-08-01,台灣流行樂,https://www.youtube.com/results?search_query=%E7%8E%8B%E7%A7%80%E5%A6%82+%E5%BF%83%E9%A0%AD%E4%BA%82%E7%B4%9B%E7%B4%9B+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
台語歌,2023,王心凌,感情用事,BITE BACK,2023-10-12,華語流行樂,https://www.youtube.com/results?search_query=%E7%8E%8B%E5%BF%83%E5%87%8C+%E6%84%9F%E6%83%85%E7%94%A8%E4%BA%8B+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
臺語,2023,滅火器,給女兒,家和萬事興,2023-06-09,龐克,https://www.youtube.com/results?search_query=%E6%BB%85%E7%81%AB%E5%99%A8+%E7%B5%A6%E5%A5%B3%E5%85%92+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
臺語,2023,滅火器,新歌六號,家和萬事興,2023-05-05,龐克,https://www.youtube.com/results?search_query=%E6%BB%85%E7%81%AB%E5%99%A8+%E6%96%B0%E6%AD%8C%E5%85%AD%E8%99%9F+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
臺語,2023,滅火器,新世界的光 (feat. DJ Mykal a.k.a. 林哲儀),家和萬事興,2023-06-09,龐克,https://www.youtube.com/results?search_query=%E6%BB%85%E7%81%AB%E5%99%A8+%E6%96%B0%E4%B8%96%E7%95%8C%E7%9A%84%E5%85%89+%28feat.+DJ+Mykal+a.k.a.+%E6%9E%97%E5%93%B2%E5%84%80%29+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
臺語,2023,滅火器,家和萬事興,家和萬事興,2023-06-09,龐克,https://www.youtube.com/results?search_query=%E6%BB%85%E7%81%AB%E5%99%A8+%E5%AE%B6%E5%92%8C%E8%90%AC%E4%BA%8B%E8%88%88+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
臺語,2023,滅火器,人生尾路,家和萬事興,2023-06-09,龐克,https://www.youtube.com/results?search_query=%E6%BB%85%E7%81%AB%E5%99%A8+%E4%BA%BA%E7%94%9F%E5%B0%BE%E8%B7%AF+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
臺語,2023,洪佩瑜,同款 (電影《本日公休》主題曲),同款 (電影《本日公休》主題曲) - Single,2023-02-14,華語流行樂,https://www.youtube.com/results?search_query=%E6%B4%AA%E4%BD%A9%E7%91%9C+%E5%90%8C%E6%AC%BE+%28%E9%9B%BB%E5%BD%B1%E3%80%8A%E6%9C%AC%E6%97%A5%E5%85%AC%E4%BC%91%E3%80%8B%E4%B8%BB%E9%A1%8C%E6%9B%B2%29+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
台語歌,2023,洪一峰,純情的人,鐵金剛歌唱集:十大台語歌星大會串,2023-08-01,台灣流行樂,https://www.youtube.com/results?search_query=%E6%B4%AA%E4%B8%80%E5%B3%B0+%E7%B4%94%E6%83%85%E7%9A%84%E4%BA%BA+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
閩南語,2023,"桃子A1J, 王水源 & 水蜜桃偵探社",尋人,尋人,2023-09-26,華語流行樂,https://www.youtube.com/results?search_query=%E6%A1%83%E5%AD%90A1J%2C+%E7%8E%8B%E6%B0%B4%E6%BA%90+%26+%E6%B0%B4%E8%9C%9C%E6%A1%83%E5%81%B5%E6%8E%A2%E7%A4%BE+%E5%B0%8B%E4%BA%BA+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
台語歌,2023,文鶯,阮的愛人行船人,鐵金剛歌唱集:十大台語歌星大會串,2023-08-01,台灣流行樂,https://www.youtube.com/results?search_query=%E6%96%87%E9%B6%AF+%E9%98%AE%E7%9A%84%E6%84%9B%E4%BA%BA%E8%A1%8C%E8%88%B9%E4%BA%BA+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
台語歌,2023,張文華,難忘的台北橋,鐵金剛歌唱集:十大台語歌星大會串,2023-08-01,台灣流行樂,https://www.youtube.com/results?search_query=%E5%BC%B5%E6%96%87%E8%8F%AF+%E9%9B%A3%E5%BF%98%E7%9A%84%E5%8F%B0%E5%8C%97%E6%A9%8B+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
台語歌,2023,吳晉淮,港都情歌,鐵金剛歌唱集:十大台語歌星大會串,2023-08-01,台灣流行樂,https://www.youtube.com/results?search_query=%E5%90%B3%E6%99%89%E6%B7%AE+%E6%B8%AF%E9%83%BD%E6%83%85%E6%AD%8C+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
台語歌,2023,Gummy B,叛逆期,大嘻哈時代2: JUDGE 評審主題賽_街區故事 / 愛與恨 / 錢與名利,2023-03-12,嘻哈/饒舌,https://www.youtube.com/results?search_query=Gummy+B+%E5%8F%9B%E9%80%86%E6%9C%9F+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
台語歌,2022,韋禮安,不得不 (feat. 徐佳瑩),明天再見,2022-09-09,華語流行樂,https://www.youtube.com/results?search_query=%E9%9F%8B%E7%A6%AE%E5%AE%89+%E4%B8%8D%E5%BE%97%E4%B8%8D+%28feat.+%E5%BE%90%E4%BD%B3%E7%91%A9%29+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
台語歌,2022,陳珍儀,女工的心聲,2022南面而歌-新世代台語歌 原創作品輯,2022-07-15,台灣流行樂,https://www.youtube.com/results?search_query=%E9%99%B3%E7%8F%8D%E5%84%80+%E5%A5%B3%E5%B7%A5%E7%9A%84%E5%BF%83%E8%81%B2+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
台語歌,2022,陳泓海,長巷,2022南面而歌-新世代台語歌 原創作品輯,2022-07-15,台灣流行樂,https://www.youtube.com/results?search_query=%E9%99%B3%E6%B3%93%E6%B5%B7+%E9%95%B7%E5%B7%B7+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
台語歌,2022,陳德民,毋願閣再等死,2022南面而歌-新世代台語歌 原創作品輯,2022-07-15,台灣流行樂,https://www.youtube.com/results?search_query=%E9%99%B3%E5%BE%B7%E6%B0%91+%E6%AF%8B%E9%A1%98%E9%96%A3%E5%86%8D%E7%AD%89%E6%AD%BB+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
台語歌,2022,阿雞GLOJ,眾神之都,2022南面而歌-新世代台語歌 原創作品輯,2022-07-15,台灣流行樂,https://www.youtube.com/results?search_query=%E9%98%BF%E9%9B%9EGLOJ+%E7%9C%BE%E7%A5%9E%E4%B9%8B%E9%83%BD+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
台語流行,2022,邰智源 & 盧廣仲,相忘,木曜跨界演唱會-Awakening - EP,2022-04-01,華語流行樂,https://www.youtube.com/results?search_query=%E9%82%B0%E6%99%BA%E6%BA%90+%26+%E7%9B%A7%E5%BB%A3%E4%BB%B2+%E7%9B%B8%E5%BF%98+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
台語歌,2022,過勞電台,白跤蹄,2022南面而歌-新世代台語歌 原創作品輯,2022-07-15,台灣流行樂,https://www.youtube.com/results?search_query=%E9%81%8E%E5%8B%9E%E9%9B%BB%E5%8F%B0+%E7%99%BD%E8%B7%A4%E8%B9%84+%E5%AE%98%E6%96%B9+MV+%E5%8F%B0%E8%AA%9E
